what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021673333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371021691861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021707598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021708006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371021712280
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371021720686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021722428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021766921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021767622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021767962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021769394
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021771083
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021771646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371021808147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021809537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021811313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021817022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021817694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021817942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021823213
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021824533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371021827079
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021827790
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371021828187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021829322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021830749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021832452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021833761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021834757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021836017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021836884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021838676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021839835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021851137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371021855948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049945600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049971382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049972829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049973972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049975357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049976803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049990552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049995537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049996358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371049996854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371050004153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371050029359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371050030218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371050030453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371050033246
